x2,x3,x4,x5,x1
35.382,61.396,1.9,0,1.065
35.19,61.909,0,0,1.065
35.193,63.92,3.7,337.5,1.066
34.83,66.462,3.6,0,1.068
34.611,66.33,5.6,0,1.068
35.144,67.705,3.7,337.5,1.068
35.277,69.687,3.7,0,1.066
35.616,69.703,7.2,337.5,1.067
36.709,67.452,5.6,0,1.067
36.745,68.067,5.6,0,1.067
37.213,67.805,3.7,112.5,1.067
37.506,68.854,0,112.5,1.069
41.808,60.369,3.7,292.5,1.07
43.356,58.624,0,292.5,1.067
44.313,58.005,3.7,45,1.066
44.842,57.217,10.8,90,1.068
44.328,58.23,7.4,90,1.069
43.936,59.866,9.3,67.5,1.068
43.396,61.964,5.6,67.5,1.067
41.252,68.078,3.6,45,1.067
39.964,71.831,5.6,67.5,1.067
37.49,77.825,3.7,90,1.067
36.64,79.421,5.6,90,1.069
36.013,80.971,7.2,90,1.068
35.849,81.846,16.7,112.5,1.067
35.558,82.108,20.4,135,1.068
35.915,80.994,24.1,157.5,1.068
34.335,84.467,25.2,135,1.067
33.718,83.801,25.9,135,1.067
32.193,86.391,29.6,135,1.068
36.32,80.184,25.9,135,1.069
40.99,66.951,36,135,1.07
43.385,58.782,33.3,135,1.069
46.649,45.959,33.3,135,1.067
48.688,41.987,27.8,135,1.068
50.097,38.891,25.2,135,1.069
49.792,38.184,31.5,135,1.07
46.361,44.488,29.6,135,1.066
41.079,55.902,31.5,135,1.067
38.751,62.701,32.4,157.5,1.067
37.397,66.401,27.8,157.5,1.067
36.954,68.879,25.9,157.5,1.069
36.423,70.679,18.5,157.5,1.068
34.092,75.191,18,180,1.068
32.095,78.879,11.1,180,1.068
31.079,81.46,9.3,180,1.068
29.86,83.422,5.6,202.5,1.069
28.329,84.785,3.6,225,1.067
26.839,87.277,5.6,225,1.067
28.996,85.952,3.7,180,1.068
34.45,71.811,7.4,180,1.068
39.304,62.113,10.8,180,1.067
44.411,45.445,11.1,180,1.067
48.917,41.655,7.4,180,1.068
52.496,39.815,13,180,1.067
51.651,43.495,10.8,202.5,1.066
49.157,48.726,7.4,202.5,1.067
46.605,55.077,9.3,180,1.065
44.118,64.517,13,180,1.066
43.72,64.963,7.2,202.5,1.067
42.393,68,14.8,180,1.068
40.395,69.293,11.1,180,1.069
39.763,67.784,11.1,180,1.068
38.723,71.898,14.4,180,1.067
35.319,80.402,13,202.5,1.068
32.15,85.559,13,180,1.066
31.621,87.057,18.5,180,1.065
31.596,85.896,18,180,1.065
33.986,81.645,16.7,180,1.066
38.41,72.898,16.7,180,1.067
42.451,65.307,18.5,180,1.066
48.818,53.121,18,180,1.066
54.346,40.571,18.5,180,1.067
52.96,40.717,16.7,180,1.067
51.182,44.992,20.4,180,1.067
50.544,46.841,21.6,180,1.066
49.409,51.62,25.9,180,1.066
47.534,61.881,22.2,202.5,1.065
46.706,66.22,20.4,202.5,1.066
46.077,68.743,25.2,202.5,1.065
44.371,72.676,22.2,180,1.067
41.15,78.572,18.5,202.5,1.066
40.098,81.145,14.8,202.5,1.066
38.795,82.972,14.4,202.5,1.065
40.366,81.134,13,180,1.065
40.827,79.386,7.4,157.5,1.065
40.199,82.635,11.1,180,1.064
44.279,75.22,21.6,180,1.065
47.049,71.025,16.7,202.5,1.066
50.317,68.855,14.8,202.5,1.064
49.067,80.052,16.7,180,1.063
48.935,87.309,14.4,202.5,1.063
51.972,78.971,16.7,202.5,1.063
54.572,72.552,20.4,202.5,1.062
48.063,83.015,24.1,180,1.061
41.816,91.687,25.2,180,1.06
38.705,96.494,22.2,202.5,1.061
37.398,97.947,22.2,202.5,1.063
36.433,98.562,18.5,202.5,1.064
35.414,98.764,25.2,180,1.066
34.708,99.024,18.5,202.5,1.066
34.318,99.084,18.5,202.5,1.065
